[2024-12-22 12:41:51,979][INFO] Running PROJECT: CRC-DX, P LEARNING RATE: 0.001, OPTIMIZER: ADAMW, NUM EPOCHS: 15, BATCH SIZE: 2048, DEVICES: cuda, SMOOTHING: 0.1
[2024-12-22 12:41:51,979][INFO] params["in_chans"]=[200, 16]
[2024-12-22 12:41:51,979][INFO] params["dims"]=[512, 512]
[2024-12-22 12:41:51,979][INFO] params["out_chans"]=[16, 8]
[2024-12-22 12:41:51,979][INFO] params["heads"]=[8, 4]
[2024-12-22 12:41:51,980][INFO] params["dropout"]=[0.8, 0.4, 0.4]
[2024-12-22 12:43:30,680][INFO] Epoch[1/15], loss:2.2824, CE loss:0.9567
[2024-12-22 12:43:30,681][INFO] Epoch[1/15], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2024-12-22 12:43:30,681][INFO] Epoch[1/15], train AUC: 0.6676(0.5511-0.7780), test AUC: 0.6004(0.4563-0.7296)
[2024-12-22 12:46:41,748][INFO] Epoch[2/15], loss:1.9143, CE loss:0.5159
[2024-12-22 12:46:41,748][INFO] Epoch[2/15], train B-acc: 0.6570(0.5784-0.7349), test B-acc: 0.6820(0.5864-0.7800)
[2024-12-22 12:46:41,749][INFO] Epoch[2/15], train AUC: 0.7544(0.6517-0.8400), test AUC: 0.6876(0.5499-0.8069)
[2024-12-22 12:48:24,198][INFO] Epoch[3/15], loss:1.8428, CE loss:0.4417
[2024-12-22 12:48:24,198][INFO] Epoch[3/15], train B-acc: 0.5645(0.5139-0.6250), test B-acc: 0.5000(0.5000-0.5000)
[2024-12-22 12:48:24,198][INFO] Epoch[3/15], train AUC: 0.7934(0.7031-0.8664), test AUC: 0.6897(0.5669-0.8174)
[2024-12-22 12:50:09,993][INFO] Epoch[4/15], loss:1.8057, CE loss:0.4160
[2024-12-22 12:50:09,993][INFO] Epoch[4/15], train B-acc: 0.6224(0.5605-0.6977), test B-acc: 0.6129(0.5357-0.7000)
[2024-12-22 12:50:09,993][INFO] Epoch[4/15], train AUC: 0.8416(0.7659-0.9052), test AUC: 0.7440(0.6270-0.8491)
[2024-12-22 12:51:52,415][INFO] Epoch[5/15], loss:1.7661, CE loss:0.4008
[2024-12-22 12:51:52,416][INFO] Epoch[5/15], train B-acc: 0.6154(0.5512-0.6897), test B-acc: 0.5741(0.5185-0.6538)
[2024-12-22 12:51:52,416][INFO] Epoch[5/15], train AUC: 0.8732(0.8031-0.9304), test AUC: 0.7796(0.6634-0.8727)
[2024-12-22 12:53:33,898][INFO] Epoch[6/15], loss:1.7232, CE loss:0.3883
[2024-12-22 12:53:33,899][INFO] Epoch[6/15], train B-acc: 0.6184(0.5536-0.6897), test B-acc: 0.5370(0.5000-0.5968)
[2024-12-22 12:53:33,899][INFO] Epoch[6/15], train AUC: 0.8983(0.8327-0.9507), test AUC: 0.8090(0.6915-0.8995)
[2024-12-22 12:55:10,085][INFO] Epoch[7/15], loss:1.6730, CE loss:0.3789
[2024-12-22 12:55:10,087][INFO] Epoch[7/15], train B-acc: 0.6562(0.5862-0.7344), test B-acc: 0.5962(0.5263-0.6842)
[2024-12-22 12:55:10,087][INFO] Epoch[7/15], train AUC: 0.9227(0.8600-0.9673), test AUC: 0.8362(0.7297-0.9157)
[2024-12-22 12:56:45,406][INFO] Epoch[8/15], loss:1.6303, CE loss:0.3711
